CASENUM	VEH_NO	WEIGHT	REGION	STRATUM	PJ	PSU	PSUSTRAT	PVE_Forms	PNUMOCCS	PMONTH	PHOUR	PMINUTE	PHARM_EV	PMAN_COLL	PTYPE	PHIT_RUN	PMAKE	PMODEL	PBODYTYP	PMODYEAR	PVIN	PTRAILER	PMCARR_I1	PMCARR_I2	PMCARR_ID	PGVWR	PV_CONFIG	PCARGTYP	PHAZ_INV	PHAZPLAC	PHAZ_ID	PHAZ_CNO	PHAZ_REL	PBUS_USE	PSP_USE	PEM_USE	PIMPACT1	PVEH_SEV	PTOWED	PM_HARM	PVEH_SC1	PVEH_SC2	PFIRE
201210435179	1	215.54684	1	4	4	2	3	1	0	8	16	32	14	0	3	0	12	399	4	2007	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	1	12	0	0	0
201210435227	2	54.292	1	5	2	2	3	1	0	9	19	1	14	0	3	0	99	998	97	1995	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210435302	2	107.77342	1	6	4	2	3	1	0	9	17	47	14	0	3	0	37	399	4	2008	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210435369	2	107.77342	1	6	4	2	3	1	0	9	0	8	14	0	3	0	37	399	4	1995	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0
201210435369	3	107.77342	1	6	4	2	3	1	0	9	0	8	14	0	3	0	35	399	2	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	8	1	12	0	0	0
201210435450	2	215.54684	1	4	4	2	3	1	0	10	11	30	14	0	3	0	55	399	4	2004	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	61	8	1	12	0	0	0
201210435647	2	54.292	1	5	1	2	3	1	0	10	12	41	14	0	3	0	21	399	4	1993	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	82	8	1	12	0	0	0
201210435928	2	49.280305	1	1	6	2	3	1	1	11	8	14	45	0	4	0	12	499	39	2007	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	6	6	2	12	0	0	0
201210436041	3	49.280305	1	1	6	2	3	2	0	11	22	2	12	6	3	0	12	999	49	2000	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	82	8	1	18	0	0	0
201210436041	4	49.280305	1	1	6	2	3	2	0	11	22	2	12	6	3	0	32	399	4	1997	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	83	8	1	18	0	0	0
201210436307	1	215.54684	1	4	4	2	3	1	0	12	10	20	14	0	3	0	37	399	2	2003	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	62	8	1	12	0	0	0
201210436356	1	213.289922	1	4	16	2	3	1	0	11	14	45	14	0	3	0	37	399	4	2004	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	14	0	0	0
201210436377	2	54.292	1	5	1	2	3	1	0	11	5	5	24	0	3	0	48	999	49	2011	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	82	6	2	12	0	0	0
201210436377	3	54.292	1	5	1	2	3	1	0	11	5	5	24	0	3	0	63	399	4	2005	888888888888	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	82	8	1	12	0	0	0
201210712473	2	99.48952	1	6	4	3	1	1	0	1	0	20	33	0	2	0	49	442	20	2005	5TDZA23C05S2	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	9	8	1	12	0	0	0
201210712569	3	223.466985	1	4	8	3	1	2	0	1	18	40	12	6	2	0	34	37	4	2012	WBAKC8C55CC4	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	63	8	1	12	0	0	0
201210712619	3	5.055502	1	2	7	3	1	2	0	1	11	5	12	7	2	0	12	481	31	2005	1FTVX14515NB	0	0	000000000	00000000000	0	0	0	1	0	0	0	0	0	0	0	81	8	1	12	0	0	0
201210712619	4	5.055502	1	2	7	3	1	2	0	1	11	5	12	7	2	0	84	881	62	2001	1HTSCAAL41H3	0	77	777777777	77777777777	2	1	96	1	0	0	0	0	0	0	0	83	8	1	12	0	0	0
